label,support_catalogue_items,share_catalogue,share_interaction,train_interactions,threshold_passed,threshold_reason_if_failed
Egypt,5.976190476190476,0.0002190846277656161,1.84882983351827e-05,277.73809523809524,False,low catalogue item or train-interaction support
Empire of Japan,1.5,5.498936872204707e-05,1.6641845908222747e-06,25.0,False,low catalogue item or train-interaction support
Estonia,5.623333333333333,0.00020614903340909646,2.235532444543378e-05,335.83,False,low catalogue item or train-interaction support
Federal Republic of Yugoslavia,2.392857142857143,8.772113581850366e-05,1.3270683408528483e-05,199.35714285714286,False,low catalogue item or train-interaction support
Finland,95.08160561660561,0.0034856516466238584,0.0002763167590363322,4150.933144078144,True,
France,1030.21060994561,0.037767087394442775,0.0252456684367983,379249.8226462426,True,
Georgia,1.8666666666666667,6.843121440965858e-05,1.5776469920995164e-06,23.7,False,low catalogue item or train-interaction support
German Democratic Republic,1.3333333333333333,4.887943886404184e-05,1.5532389514341232e-07,2.3333333333333335,False,low catalogue item or train-interaction support
German Reich,1.5,5.498936872204707e-05,2.6959790371320852e-06,40.5,False,low catalogue item or train-interaction support
Germany,510.6368004218004,0.018719730200960495,0.019251206120384966,289198.77978909976,True,
Greece,27.956666666666667,0.0010248796343817973,4.368462361780594e-05,656.2466666666667,False,low catalogue item or train-interaction support
Guatemala,1.0,3.665957914803138e-05,9.985107544933648e-08,1.5,False,low catalogue item or train-interaction support
Hong Kong,189.84285714285716,0.006959559247116986,0.004675278565164262,70233.7738095238,True,
Hungary,25.732857142857142,0.0009433557131335561,0.00017429918143800077,2618.387142857143,False,low catalogue item or train-interaction support
Iceland,11.58525641025641,0.00042471062432203273,0.00010100802511115608,1517.3801282051281,False,low catalogue item or train-interaction support
India,138.06666666666666,0.005061465894371533,0.0006751441561070825,10142.266666666666,True,
Indonesia,11.944444444444445,0.00043787830649037485,3.769563007611433e-05,566.2777777777778,False,low catalogue item or train-interaction support
Iran,43.30952380952381,0.0015877089159587877,0.0002046606285104706,3074.4880952380954,True,
Iraq,1.4166666666666665,5.193440379304445e-05,2.8734920601531276e-06,43.166666666666664,False,low catalogue item or train-interaction support
Ireland,64.68166666666667,0.00237120267859325,0.0019229916997573128,28887.896666666667,True,
Israel,30.09285714285714,0.0011031914782189728,9.793710467612032e-05,1471.247619047619,True,
Italy,450.367355977356,0.016510277732141507,0.009234425312421848,138722.97224941725,True,
Jamaica,2.833333333333333,0.0001038688075860889,1.4611540707419573e-05,219.5,False,low catalogue item or train-interaction support
Japan,532.2611471861471,0.01951246965269254,0.011827533689801845,177677.61093073594,True,
Jordan,1.6666666666666667,6.10992985800523e-05,5.769173248183885e-07,8.666666666666666,False,low catalogue item or train-interaction support
Kazakhstan,0.7333333333333334,2.6883691375223016e-05,9.572389766409725e-06,143.8,False,low catalogue item or train-interaction support
Kenya,0.5833333333333333,2.13847545030183e-05,3.71667891950308e-07,5.583333333333333,False,low catalogue item or train-interaction support
Kingdom of Great Britain,0.41666666666666663,1.5274824645013072e-05,3.430439169881649e-05,515.3333333333334,False,low catalogue item or train-interaction support
Kingdom of Italy,2.0,7.331915829606276e-05,2.7092925138586633e-05,407.0,False,low catalogue item or train-interaction support
Kingdom of the Netherlands,0.25,9.164894787007845e-06,1.1649292135755924e-07,1.75,False,low catalogue item or train-interaction support
Latvia,7.24,0.0002654153530317472,1.3033893715320055e-06,19.58,False,low catalogue item or train-interaction support
Lebanon,1.2833333333333332,4.704645990664027e-05,4.677468156604474e-06,70.26666666666667,False,low catalogue item or train-interaction support
Libya,0.2,7.331915829606276e-06,1.065078138126256e-07,1.6,False,low catalogue item or train-interaction support
Liechtenstein,0.2,7.331915829606276e-06,1.9490929927710483e-05,292.8,False,low catalogue item or train-interaction support
Lithuania,1.7066666666666666,6.256568174597355e-05,1.1627103007878292e-07,1.7466666666666666,False,low catalogue item or train-interaction support
Luxembourg,12.916190476190476,0.0004735021070529539,0.0002939123696564665,4415.260952380952,False,low catalogue item or train-interaction support
Malaysia,0.7,2.5661705403621966e-05,1.2647802890249288e-07,1.9000000000000001,False,low catalogue item or train-interaction support
Mali,0.6666666666666666,2.443971943202092e-05,4.6597168543023684e-07,6.999999999999999,False,low catalogue item or train-interaction support
Malta,0.3733333333333333,1.3686242881931714e-05,0.0001075338390856872,1615.4133333333332,False,low catalogue item or train-interaction support
Mauritania,1.0,3.665957914803138e-05,2.6626953453156396e-07,4.0,False,low catalogue item or train-interaction support
Mexico,82.35119047619048,0.003018959985196513,0.0038651955072011765,58064.40476190476,True,
Monaco,1.0,3.665957914803138e-05,3.4615039489103314e-06,52.0,False,low catalogue item or train-interaction support
Mongolia,1.0,3.665957914803138e-05,7.455546966883791e-06,112.0,False,low catalogue item or train-interaction support
Montenegro,0.7,2.5661705403621966e-05,8.653759872275829e-08,1.3,False,low catalogue item or train-interaction support
Morocco,4.533333333333333,0.00016619009213774227,2.946827127788696e-05,442.68333333333334,False,low catalogue item or train-interaction support
Nazi Germany,1.0,3.665957914803138e-05,0.0,0.0,False,low catalogue item or train-interaction support
Netherlands,68.22846708846708,0.002501226889378513,0.000757391251024347,11377.813122433123,True,
New Zealand,39.78333333333333,0.0014584402571058484,0.004754864944098042,71429.35,True,
Nigeria,0.5,1.832978957401569e-05,3.3283691816445495e-08,0.5,False,low catalogue item or train-interaction support
North Korea,1.0,3.665957914803138e-05,1.3313476726578198e-07,2.0,False,low catalogue item or train-interaction support
North Macedonia,1.5333333333333332,5.621135469364811e-05,1.7760177953255318e-05,266.8,False,low catalogue item or train-interaction support
Norway,44.864224664224665,0.0016447035949932057,0.0005312189460005796,7980.1686202686205,True,
Occupied Palestinian territories,0.6666666666666666,2.443971943202092e-05,3.37274743739981e-06,50.666666666666664,False,low catalogue item or train-interaction support
Pakistan,0.5,1.832978957401569e-05,4.3268799361379143e-07,6.5,False,low catalogue item or train-interaction support
Palestine,1.3333333333333333,4.887943886404184e-05,5.7580786842450705e-06,86.5,False,low catalogue item or train-interaction support
Panama,0.2,7.331915829606276e-06,6.1641397244057064e-06,92.60000000000001,False,low catalogue item or train-interaction support
Papua New Guinea,0.5,1.832978957401569e-05,6.656738363289099e-08,1.0,False,low catalogue item or train-interaction support
Paraguay,1.0,3.665957914803138e-05,1.9970215089867296e-07,3.0,False,low catalogue item or train-interaction support
People's Republic of Bulgaria,0.8333333333333333,3.0549649290026145e-05,1.220402033269668e-07,1.8333333333333333,False,low catalogue item or train-interaction support
People's Republic of China,94.88571428571429,0.003478470352874635,0.001565737770180051,23521.095238095237,True,
Peru,2.333333333333333,8.55390180120732e-05,5.863477041663814e-05,880.8333333333333,False,low catalogue item or train-interaction support
Philippines,13.75,0.0005040692132854315,0.00042228683992115223,6343.75,False,low catalogue item or train-interaction support
Poland,49.44952380952381,0.0018127987319277003,0.0006272041649424128,9422.094285714285,True,
Polish People's Republic,0.5,1.832978957401569e-05,9.985107544933648e-07,15.0,False,low catalogue item or train-interaction support
Portugal,13.956666666666667,0.000511645526309358,2.4768392102126078e-05,372.08,False,low catalogue item or train-interaction support
Puerto Rico,1.0,3.665957914803138e-05,6.656738363289099e-08,1.0,False,low catalogue item or train-interaction support
Qatar,0.25,9.164894787007845e-06,4.6597168543023695e-07,7.0,False,low catalogue item or train-interaction support
Republic of China,1.0,3.665957914803138e-05,6.656738363289099e-07,10.0,False,low catalogue item or train-interaction support
Romania,35.391666666666666,0.0012974436053474106,0.00010018446709569788,1505.0083333333334,True,
Russia,55.01904761904762,0.0020169751308397837,0.00034620380729171,5200.802380952381,True,
Rwanda,1.3333333333333333,4.887943886404184e-05,7.544303478394311e-07,11.333333333333332,False,low catalogue item or train-interaction support
Saudi Arabia,0.16666666666666666,6.10992985800523e-06,3.7721517391971557e-07,5.666666666666666,False,low catalogue item or train-interaction support
Senegal,3.6666666666666665,0.00013441845687611506,3.8165299949524165e-06,57.33333333333333,False,low catalogue item or train-interaction support
Serbia,7.733333333333333,0.0002835007454114427,1.0717348764895449e-05,161.0,False,low catalogue item or train-interaction support
Serbia and Montenegro,0.3333333333333333,1.221985971601046e-05,1.4644824399236018e-06,22.0,False,low catalogue item or train-interaction support
Singapore,6.809523809523809,0.00024963427705564225,2.814849365047962e-05,422.8571428571429,False,low catalogue item or train-interaction support
Slovakia,2.19,8.028447833418872e-05,2.6763194698325046e-05,402.0466666666667,False,low catalogue item or train-interaction support
Slovenia,2.3066666666666666,8.456142923479238e-05,3.350425174754914e-05,503.31333333333333,False,low catalogue item or train-interaction support
Socialist Federal Republic of Yugoslavia,3.5,0.00012830852701810984,2.096872584436066e-06,31.5,False,low catalogue item or train-interaction support
South Africa,30.483333333333334,0.0011175061710291566,0.0007239447050483549,10875.366666666667,True,
South Korea,144.58333333333334,0.005300364151819537,0.0008221571134039284,12350.75,True,
Soviet Union,50.25,0.001842143852188577,0.0005298098063341793,7959.0,True,
Spain,221.32807026307026,0.008113793909490075,0.0037315063041206686,56056.07582084582,True,
Sri Lanka,0.5,1.832978957401569e-05,9.985107544933648e-08,1.5,False,low catalogue item or train-interaction support
Sweden,137.2006893106893,0.005029719528949678,0.0015737666437565891,23641.707963702964,True,
Switzerland,35.852380952380955,0.0013143331971691822,0.0007565348281248539,11364.947619047618,True,
Syria,0.7,2.5661705403621966e-05,2.3964258107840755e-07,3.6,False,low catalogue item or train-interaction support
Taiwan,24.45,0.0008963267101693672,0.0005292983469366,7951.316666666667,False,low catalogue item or train-interaction support
Tajikistan,0.14285714285714285,5.237082735433054e-06,3.138176656979147e-07,4.714285714285714,False,low catalogue item or train-interaction support
Thailand,27.95,0.001024635237187477,0.0003095061596575205,4649.516666666666,False,low catalogue item or train-interaction support
The Bahamas,0.16666666666666666,6.10992985800523e-06,0.00010976961561063724,1649.0,False,low catalogue item or train-interaction support
Tunisia,2.8333333333333335,0.00010386880758608892,3.688942509656042e-06,55.416666666666664,False,low catalogue item or train-interaction support
Turkey,25.583333333333332,0.0009378742332038027,4.943737691136037e-05,742.6666666666666,False,low catalogue item or train-interaction support
Ukraine,1.5333333333333332,5.621135469364811e-05,2.3098882120613177e-06,34.7,False,low catalogue item or train-interaction support
United Arab Emirates,1.45,5.31563897646455e-05,1.2074213934612543e-05,181.38333333333333,False,low catalogue item or train-interaction support
United Kingdom,1621.0237051837053,0.05942604682101713,0.07498179992439687,1126404.4916938618,True,
United States,11383.559895659895,0.4173165149812998,0.7965668993094371,11966324.28431291,True,
Unknown country,8599.0,0.31523572109392184,0.0004931311779524564,7408.0,True,
Uruguay,5.7,0.00020895960114377887,3.4481904721837532e-06,51.8,False,low catalogue item or train-interaction support
Venezuela,2.0,7.331915829606276e-05,1.3313476726578198e-07,2.0,False,low catalogue item or train-interaction support
Vietnam,3.0,0.00010997873744409414,3.636798059143611e-05,546.3333333333333,False,low catalogue item or train-interaction support
Weimar Republic,6.333333333333333,0.00023217733460419873,0.0002792390797760389,4194.833333333333,False,low catalogue item or train-interaction support
West Germany,6.783333333333333,0.00024867414522081286,0.0010541455548209473,15835.766666666666,False,low catalogue item or train-interaction support
Yugoslavia,8.642857142857142,0.00031684350549369977,8.418713610543501e-05,1264.6904761904761,False,low catalogue item or train-interaction support
