label,value,share_catalogue,share_interaction
Inuktitut,2.0,7.331915829606275e-05,6.060960279774725e-05
Iranian Persian,0.5,1.8329789574015687e-05,3.32836918164455e-08
Irish,2.083333333333333,7.637412322506535e-05,0.00015022039573155734
Isan,0.5,1.8329789574015687e-05,1.8971704335373935e-06
Italian,357.2944444444444,0.013098263965263007,0.00678014153379595
Jamaican Patois,1.0,3.6659579148031374e-05,4.65971685430237e-07
Japanese,515.6968253968254,0.018905228587023433,0.011315464710772388
Javanese,0.25,9.164894787007843e-06,1.1649292135755925e-07
Jin,1.0,3.6659579148031374e-05,1.664184590822275e-06
Judeo-Moroccan,0.3333333333333333,1.2219859716010456e-05,6.6567383632891e-08
Juǀʼhoansi,0.3333333333333333,1.2219859716010456e-05,0.0001554570299106781
Kaqchikel,0.5,1.8329789574015687e-05,3.32836918164455e-08
Kazakh,0.5,1.8329789574015687e-05,7.655249117782464e-07
Khmer,0.25,9.164894787007843e-06,1.397915056290711e-06
Kinyarwanda,1.8333333333333333,6.72092284380575e-05,2.5883617669255782e-05
Klingon,0.5,1.8329789574015687e-05,5.2521665686351e-05
Korean,138.32896825396824,0.005071081760171868,0.0010039552268369396
Kuna,0.2,7.331915829606275e-06,2.795830112581422e-07
Kurdish,4.361111111111111,0.0001598764979511368,1.2477686243187458e-05
Lao,1.0,3.6659579148031374e-05,8.65375987227583e-07
Latin,7.4,0.00027128088569543213,0.0005530706690882993
Latvian,6.0,0.00021995747488818822,3.9940430179734597e-07
Lingala,0.3333333333333333,1.2219859716010456e-05,2.218912787763033e-08
Lithuanian,2.0555555555555554,7.535580158206448e-05,2.0709852685788312e-07
Lombard,1.0,3.6659579148031374e-05,1.198212905392038e-06
Luxembourgish,0.05555555555555555,2.0366432860017426e-06,7.396375959210111e-09
Macedonian,2.0,7.331915829606275e-05,7.32241219961801e-07
Malay,0.25,9.164894787007843e-06,1.664184590822275e-07
Malayalam,3.5,0.0001283085270181098,6.057631910593081e-06
Maltese,0.05555555555555555,2.0366432860017426e-06,7.396375959210111e-09
Mandarin,67.10833333333333,0.002460163257325805,0.0015569240108464007
Marathi,1.0,3.6659579148031374e-05,6.6567383632891e-08
Mayan,0.16666666666666666,6.109929858005228e-06,2.9178703159083882e-06
Mohawk,0.3333333333333333,1.2219859716010456e-05,0.00022229068307810066
Mongolian,2.5,9.164894787007842e-05,2.353157011422697e-05
Mooré,1.0,3.6659579148031374e-05,6.6567383632891e-08
Moroccan Arabic,1.5,5.4989368722047054e-05,1.33134767265782e-07
Māori,1.5,5.4989368722047054e-05,9.858629516031156e-05
Na'vi,0.5,1.8329789574015687e-05,0.00026067787430640116
Nadsat,0.5,1.8329789574015687e-05,0.0006580185872111275
Nahuatl,0.2,7.331915829606275e-06,2.795830112581422e-07
Neapolitan,1.25,4.582447393503921e-05,1.0733990610803673e-05
Nepali,0.5,1.8329789574015687e-05,3.32836918164455e-08
Northern Sami,1.25,4.582447393503921e-05,7.771742039140024e-06
Northern Sotho,1.0,3.6659579148031374e-05,3.32836918164455e-07
Norwegian,36.11666666666667,0.001324021800229733,0.0002202537211389342
Occitan,0.3333333333333333,1.2219859716010456e-05,1.1094563938815165e-07
Palenquero,0.25,9.164894787007843e-06,3.32836918164455e-08
Pashto,1.075,3.9409047584133724e-05,1.849408335780794e-05
Persian,54.55833333333333,0.0020000855390180116,0.00036846211770018744
Picard,0.5,1.8329789574015687e-05,5.059121156099716e-06
Plautdietsch,1.0,3.6659579148031374e-05,2.66269534531564e-06
Polish,43.22222222222222,0.001584508476509356,0.00027325541162503795
Portuguese,57.62896825396825,0.0021126537229257366,0.00038259194300763503
Punjabi,1.4166666666666665,5.193440379304444e-05,0.00011395226621557057
Putonghua,6.0,0.00021995747488818822,3.6279224079925592e-06
Q13049783,1.0,3.6659579148031374e-05,0.0
Quebec French,2.0,7.331915829606275e-05,1.264780289024929e-06
Quechua,1.6666666666666665,6.109929858005228e-05,7.884906591315937e-05
Rajasthani,0.25,9.164894787007843e-06,2.66269534531564e-07
Romani,1.75,6.41542635090549e-05,5.808004221969739e-05
Romanian,37.9,0.0013893980497103888,0.00024909404009788427
Russian,134.47619047619048,0.0049298405482876475,0.0036139545104873615
Salish–Spokane–Kalispel,0.3333333333333333,1.2219859716010456e-05,2.549530793139725e-05
Scottish Gaelic,1.0,3.6659579148031374e-05,5.285450260451545e-05
Senufo,0.2,7.331915829606275e-06,1.863886741720948e-07
Serbian,14.15952380952381,0.0005190821837936728,8.472141860597426e-05
Serbo-Croatian,7.059523809523809,0.00025879917184265,8.371403220032984e-05
Shuwa,1.0,3.6659579148031374e-05,3.9940430179734597e-07
Sichuanese,2.0,7.331915829606275e-05,3.1952344143787678e-06
Sicilian,1.3333333333333333,4.8879438864041825e-05,0.0007266384651726993
Sioux,0.5,1.8329789574015687e-05,8.28763926229493e-06
Slovak,1.2817460317460316,4.6988270098468776e-05,1.260210385307274e-05
Slovene,2.0555555555555554,7.535580158206448e-05,1.405311432249921e-07
Somali,0.9166666666666666,3.360461421902875e-05,5.9699848554764403e-05
Songhay,0.16666666666666666,6.109929858005228e-06,6.6567383632891e-08
Spanglish,0.3333333333333333,1.2219859716010456e-05,3.876440640222019e-05
Spanish,389.57460317460317,0.014281640999142278,0.011454544130305987
Standard Chinese,42.78333333333333,0.001568418994549942,0.0012057006265943444
Standard Taiwanese Mandarin,5.95,0.00021812449593078666,1.2255055326815233e-05
Swahili,0.9166666666666666,3.360461421902875e-05,5.579456204830147e-05
Swedish,109.30555555555556,0.004007095665208429,0.0012921357855100676
Swiss German,1.95,7.148617933866118e-05,4.410089165679029e-06
Syriac,1.0,3.6659579148031374e-05,1.7906626197247678e-05
Tagalog,4.916666666666666,0.00018024293081115423,2.6127698075909716e-06
Taiwanese Hokkien,3.95,0.0001448053376347239,9.75877844058182e-06
Tamil,4.75,0.000174133000953149,3.456511395137865e-05
Tatar,0.3333333333333333,1.2219859716010456e-05,1.0317944463098105e-05
Thai,27.50952380952381,0.0010084875654198916,0.00019608976088019477
Tibetan,1.75,6.41542635090549e-05,4.891038512426666e-05
Tok Pisin,0.25,9.164894787007843e-06,0.00010937021130883991
Torlakian,0.3333333333333333,1.2219859716010456e-05,8.875651151052132e-08
Tuareg,0.16666666666666666,6.109929858005228e-06,6.6567383632891e-08
Tupi,0.5,1.8329789574015687e-05,9.985107544933649e-08
Turkish,31.68174603174603,0.0011614394761986224,9.161156546203328e-05
Ukrainian,2.5666666666666664,9.409291981328051e-05,8.148069647944634e-05
Ukrainian Sign Language,0.5,1.8329789574015687e-05,1.664184590822275e-07
Unknown language,8925.0,0.32718674389617997,0.0012456754499222892
Urdu,1.2,4.3991494977637646e-05,2.790504721890791e-05
Vietnamese,8.666666666666666,0.00031771635261627185,0.0003217645433535175
Warlpiri,0.5,1.8329789574015687e-05,3.661206099809005e-07
Wayuu,0.25,9.164894787007843e-06,3.32836918164455e-08
Welsh,1.0,3.6659579148031374e-05,1.99702150898673e-06
West Frisian,0.3333333333333333,1.2219859716010456e-05,4.881608133078673e-07
Wolof,3.033333333333333,0.00011120072341569515,8.74029747099859e-06
Wu Chinese,0.2,7.331915829606275e-06,1.0650781381262561e-07
Xhosa,0.3333333333333333,1.2219859716010456e-05,7.100520920841706e-07
Yiddish,2.3166666666666664,8.492802502627266e-05,9.379233408234954e-05
Yolŋu,0.5,1.8329789574015687e-05,1.664184590822275e-06
Yoruba,0.125,4.582447393503922e-06,5.8246460678779625e-08
Yucatec Maya,0.3666666666666667,1.3441845687611504e-05,3.197453327166531e-06
Yue Chinese,16.366666666666667,0.0005999951120561135,0.00031540292039100077
Zoroastrian Dari,0.16666666666666666,6.109929858005228e-06,3.550260460420853e-07
Zulu,2.8333333333333335,0.00010386880758608889,3.893082486130242e-05
artistic language,1.0,3.6659579148031374e-05,6.0842588640462374e-05
no linguistic content,1.0,3.6659579148031374e-05,7.32241219961801e-07
parseltongue,0.5,1.8329789574015687e-05,0.00010281332402100014
