label,value,share
Yucatec Maya,0.3666666666666667,1.3441845687611504e-05
Tatar,0.3333333333333333,1.2219859716010456e-05
West Frisian,0.3333333333333333,1.2219859716010456e-05
Torlakian,0.3333333333333333,1.2219859716010456e-05
Xhosa,0.3333333333333333,1.2219859716010456e-05
Abkhaz,0.3333333333333333,1.2219859716010456e-05
Spanglish,0.3333333333333333,1.2219859716010456e-05
Mohawk,0.3333333333333333,1.2219859716010456e-05
Juǀʼhoansi,0.3333333333333333,1.2219859716010456e-05
Hassaniya Arabic,0.3333333333333333,1.2219859716010456e-05
Lingala,0.3333333333333333,1.2219859716010456e-05
Embera,0.3333333333333333,1.2219859716010456e-05
Egyptian,0.3333333333333333,1.2219859716010456e-05
Crow,0.3333333333333333,1.2219859716010456e-05
Corsican,0.3333333333333333,1.2219859716010456e-05
Occitan,0.3333333333333333,1.2219859716010456e-05
Belarusian,0.3333333333333333,1.2219859716010456e-05
Salish–Spokane–Kalispel,0.3333333333333333,1.2219859716010456e-05
Judeo-Moroccan,0.3333333333333333,1.2219859716010456e-05
Herero,0.25,9.164894787007843e-06
Bhojpuri,0.25,9.164894787007843e-06
Asháninka,0.25,9.164894787007843e-06
Wayuu,0.25,9.164894787007843e-06
Hakka Chinese,0.25,9.164894787007843e-06
Arhuaco,0.25,9.164894787007843e-06
Javanese,0.25,9.164894787007843e-06
Tok Pisin,0.25,9.164894787007843e-06
Malay,0.25,9.164894787007843e-06
Rajasthani,0.25,9.164894787007843e-06
Khmer,0.25,9.164894787007843e-06
Palenquero,0.25,9.164894787007843e-06
Kuna,0.2,7.331915829606275e-06
Senufo,0.2,7.331915829606275e-06
Gujarati,0.2,7.331915829606275e-06
Wu Chinese,0.2,7.331915829606275e-06
Brazilian Portuguese,0.2,7.331915829606275e-06
Ayacucho Quechua,0.2,7.331915829606275e-06
Nahuatl,0.2,7.331915829606275e-06
Songhay,0.16666666666666666,6.109929858005228e-06
Zoroastrian Dari,0.16666666666666666,6.109929858005228e-06
Mayan,0.16666666666666666,6.109929858005228e-06
Tuareg,0.16666666666666666,6.109929858005228e-06
Yoruba,0.125,4.582447393503922e-06
Maltese,0.05555555555555555,2.0366432860017426e-06
Luxembourgish,0.05555555555555555,2.0366432860017426e-06
